"district","grade","subject","adv_per_14","ni_per_14","pro_per_14","total_perf_14","wf_per_14"
"Abby Kelley Foster Charter Public (District)","03","e",9,38,49,122,4
"Abby Kelley Foster Charter Public (District)","03","m",30,15,52,122,3
"Abby Kelley Foster Charter Public (District)","04","e",5,47,41,122,7
"Abby Kelley Foster Charter Public (District)","04","m",10,45,34,122,11
"Abby Kelley Foster Charter Public (District)","05","e",6,39,44,126,10
"Abby Kelley Foster Charter Public (District)","05","m",13,34,32,126,21
"Abby Kelley Foster Charter Public (District)","05","s",6,44,34,126,16
"Abby Kelley Foster Charter Public (District)","06","e",6,44,44,124,7
"Abby Kelley Foster Charter Public (District)","06","m",13,34,29,123,24
"Abby Kelley Foster Charter Public (District)","07","e",2,20,75,110,3
"Abby Kelley Foster Charter Public (District)","07","m",5,35,32,110,28
"Abby Kelley Foster Charter Public (District)","08","e",13,11,76,115,0
"Abby Kelley Foster Charter Public (District)","08","m",11,41,32,114,16
"Abby Kelley Foster Charter Public (District)","08","s",2,40,48,114,10
"Abby Kelley Foster Charter Public (District)","10","e",33,4,63,83,1
"Abby Kelley Foster Charter Public (District)","10","m",46,14,36,83,4
"Abby Kelley Foster Charter Public (District)","10","s",24,27,47,83,2
"Abby Kelley Foster Charter Public (District)","AL","e",9,30,55,802,5
"Abby Kelley Foster Charter Public (District)","AL","m",17,32,35,800,16
"Abby Kelley Foster Charter Public (District)","AL","s",9,38,42,323,10
"Abington","03","e",9,38,45,175,8
"Abington","03","m",15,23,53,175,9
"Abington","04","e",12,40,37,156,12
"Abington","04","m",10,50,29,156,11
"Abington","05","e",14,31,49,182,5
"Abington","05","m",22,25,38,183,15
"Abington","05","s",7,51,32,183,10
"Abington","06","e",19,20,57,161,5
"Abington","06","m",25,26,38,160,11
"Abington","07","e",7,26,62,152,5
"Abington","07","m",10,35,31,154,23
"Abington","08","e",12,9,71,181,8
"Abington","08","m",10,39,35,185,16
"Abington","08","s",2,50,29,185,19
"Abington","10","e",40,7,52,116,2
"Abington","10","m",53,14,26,119,7
"Abington","10","s",34,17,46,105,3
"Abington","AL","e",15,25,53,1123,7
"Abington","AL","m",19,31,36,1132,13
"Abington","AL","s",11,43,34,473,12
"Academy Of the Pacific Rim Charter Public (District)","05","e",8,36,38,73,18
"Academy Of the Pacific Rim Charter Public (District)","05","m",10,36,22,72,32
"Academy Of the Pacific Rim Charter Public (District)","05","s",4,44,24,72,28
"Academy Of the Pacific Rim Charter Public (District)","06","e",11,28,50,72,11
"Academy Of the Pacific Rim Charter Public (District)","06","m",33,27,27,73,12
"Academy Of the Pacific Rim Charter Public (District)","07","e",9,9,77,74,4
"Academy Of the Pacific Rim Charter Public (District)","07","m",8,35,39,79,18
"Academy Of the Pacific Rim Charter Public (District)","08","e",7,10,84,73,0
"Academy Of the Pacific Rim Charter Public (District)","08","m",12,41,34,73,12
"Academy Of the Pacific Rim Charter Public (District)","08","s",0,60,27,73,12
"Academy Of the Pacific Rim Charter Public (District)","10","e",78,0,22,58,0
"Academy Of the Pacific Rim Charter Public (District)","10","m",81,5,14,58,0
"Academy Of the Pacific Rim Charter Public (District)","10","s",22,14,64,58,0
"Academy Of the Pacific Rim Charter Public (District)","AL","e",20,17,56,350,7
"Academy Of the Pacific Rim Charter Public (District)","AL","m",26,30,28,355,15
"Academy Of the Pacific Rim Charter Public (District)","AL","s",8,41,36,203,14
"Acton","03","e",20,20,57,331,2
"Acton","03","m",44,15,37,375,4
"Acton","04","e",16,26,53,378,6
"Acton","04","m",36,28,33,331,4
"Acton","05","e",29,14,56,366,2
"Acton","05","m",59,9,28,366,4
"Acton","05","s",37,18,43,364,2
"Acton","06","e",27,10,61,363,2
"Acton","06","m",63,9,26,270,3
"Acton","07","e",NA,NA,NA,3,NA
"Acton","07","m",NA,NA,NA,3,NA
"Acton","AL","e",23,17,56,1441,3
"Acton","AL","m",50,15,31,1345,4
"Acton","AL","s",37,18,43,364,2
"Acton-Boxborough","07","e",24,6,67,423,3
"Acton-Boxborough","07","m",47,12,36,467,5
"Acton-Boxborough","08","e",28,4,65,462,3
"Acton-Boxborough","08","m",35,18,41,413,6
"Acton-Boxborough","08","s",13,23,59,464,5
"Acton-Boxborough","10","e",72,1,27,479,1
"Acton-Boxborough","10","m",86,3,10,484,1
"Acton-Boxborough","10","s",70,4,26,470,1
"Acton-Boxborough","AL","e",42,3,52,1364,2
"Acton-Boxborough","AL","m",57,10,29,1364,4
"Acton-Boxborough","AL","s",42,13,42,934,3
"Acushnet","03","e",4,45,48,112,3
"Acushnet","03","m",20,29,46,112,6
"Acushnet","04","e",9,32,53,77,5
"Acushnet","04","m",21,23,48,77,8
"Acushnet","05","e",3,35,58,118,3
"Acushnet","05","m",26,28,34,118,12
"Acushnet","05","s",26,36,32,117,5
"Acushnet","06","e",10,23,51,115,16
"Acushnet","06","m",15,25,42,115,18
"Acushnet","07","e",7,28,60,115,5
"Acushnet","07","m",13,28,40,115,19
"Acushnet","08","e",14,14,66,113,5
"Acushnet","08","m",25,26,35,114,14
"Acushnet","08","s",2,46,39,114,13
"Acushnet","10","e",NA,NA,NA,1,NA
"Acushnet","10","m",NA,NA,NA,1,NA
"Acushnet","10","s",0,67,0,3,33
"Acushnet","AL","e",8,29,56,651,6
"Acushnet","AL","m",20,27,40,652,13
"Acushnet","AL","s",14,41,35,234,9
"Adams-Cheshire","03","e",5,53,36,98,6
"Adams-Cheshire","03","m",12,34,43,65,11
"Adams-Cheshire","04","e",2,43,31,116,24
"Adams-Cheshire","04","m",7,58,22,116,13
"Adams-Cheshire","05","e",2,49,35,106,14
"Adams-Cheshire","05","m",11,35,29,106,25
"Adams-Cheshire","05","s",3,52,20,106,25
"Adams-Cheshire","06","e",7,37,48,111,8
"Adams-Cheshire","06","m",6,51,15,111,27
"Adams-Cheshire","07","e",3,36,53,113,8
"Adams-Cheshire","07","m",4,27,24,113,44
"Adams-Cheshire","08","e",3,29,66,106,2
"Adams-Cheshire","08","m",4,49,30,106,17
"Adams-Cheshire","08","s",1,58,21,106,21
"Adams-Cheshire","10","e",29,6,63,65,2
"Adams-Cheshire","10","m",38,20,29,65,12
"Adams-Cheshire","10","s",18,40,38,60,3
"Adams-Cheshire","AL","e",6,38,46,715,10
"Adams-Cheshire","AL","m",10,41,26,682,23
"Adams-Cheshire","AL","s",6,51,24,272,19
"Advanced Math and Science Academy Charter (District)","06","e",29,11,59,151,1
"Advanced Math and Science Academy Charter (District)","06","m",67,12,17,150,4
"Advanced Math and Science Academy Charter (District)","07","e",23,4,73,147,0
"Advanced Math and Science Academy Charter (District)","07","m",48,13,34,148,5
"Advanced Math and Science Academy Charter (District)","08","e",29,4,67,128,0
"Advanced Math and Science Academy Charter (District)","08","m",40,17,41,128,2
"Advanced Math and Science Academy Charter (District)","08","s",15,24,61,128,0
"Advanced Math and Science Academy Charter (District)","10","e",83,0,17,191,0
"Advanced Math and Science Academy Charter (District)","10","m",96,1,3,192,0
"Advanced Math and Science Academy Charter (District)","10","s",74,3,23,192,0
"Advanced Math and Science Academy Charter (District)","AL","e",44,5,51,617,0
"Advanced Math and Science Academy Charter (District)","AL","m",66,10,22,618,3
"Advanced Math and Science Academy Charter (District)","AL","s",51,11,38,320,0
"Agawam","03","e",10,30,54,308,6
"Agawam","03","m",28,20,48,307,5
"Agawam","04","e",12,35,43,263,10
"Agawam","04","m",18,39,35,263,8
"Agawam","05","e",10,31,46,314,13
"Agawam","05","m",29,24,32,315,15
"Agawam","05","s",18,35,36,314,11
"Agawam","06","e",12,22,60,295,7
"Agawam","06","m",29,27,36,294,9
"Agawam","07","e",3,28,59,326,10
"Agawam","07","m",9,30,40,327,20
"Agawam","08","e",9,15,70,307,6
"Agawam","08","m",11,37,41,309,12
"Agawam","08","s",2,52,32,307,15
"Agawam","10","e",34,8,56,342,1
"Agawam","10","m",52,14,30,343,4
"Agawam","10","s",22,34,41,321,2
"Agawam","AL","e",13,24,56,2155,7
